ticker,date,open,high,low,close,volume
GOOGL,2023-08-25,128.11,129.33,125.82,128.45,26762891.0
GOOGL,2023-08-28,129.88,131.11,128.71,129.58,20543266.0
GOOGL,2023-08-29,130.81,135.14,130.81,133.14,43075556.0
GOOGL,2023-08-30,133.35,134.85,132.64,134.45,28315769.0
GOOGL,2023-08-31,134.58,136.57,134.36,134.74,30053800.0
GOOGL,2023-09-01,136.03,136.03,133.42,134.23,21543687.0
GOOGL,2023-09-05,134.01,134.99,133.15,134.34,19403112.0
GOOGL,2023-09-06,134.59,135.1,132.24,133.03,18684534.0
GOOGL,2023-09-07,132.16,134.15,131.52,133.83,18844342.0
GOOGL,2023-09-08,133.48,135.23,133.42,134.95,23584188.0
GOOGL,2023-09-11,135.11,136.05,134.36,135.49,20763350.0
GOOGL,2023-09-12,134.83,135.44,133.76,133.91,18405505.0
GOOGL,2023-09-13,133.66,135.47,132.72,135.28,20749496.0
GOOGL,2023-09-14,136.17,137.27,134.81,136.67,24750968.0
GOOGL,2023-09-15,136.55,137.09,135.05,135.97,38919614.0
GOOGL,2023-09-18,135.18,137.73,135.18,136.78,21861346.0
GOOGL,2023-09-19,135.99,136.98,135.19,136.61,20353653.0
GOOGL,2023-09-20,136.65,136.65,132.19,132.31,29927475.0
GOOGL,2023-09-21,130.01,130.8,128.64,129.01,31503910.0
GOOGL,2023-09-22,129.33,130.6,128.17,128.82,26397337.0
GOOGL,2023-09-25,128.4,129.74,127.53,129.68,20094643.0
GOOGL,2023-09-26,128.34,128.93,125.79,127.14,25718704.0
GOOGL,2023-09-27,127.14,129.47,127.14,129.11,22746452.0
GOOGL,2023-09-28,128.41,131.87,128.36,130.88,22513132.0
GOOGL,2023-09-29,131.85,132.62,128.93,129.43,30859790.0
GOOGL,2023-10-02,129.78,132.99,129.74,132.74,22288038.0
GOOGL,2023-10-03,132.51,132.83,130.41,131.0,22989401.0
GOOGL,2023-10-04,131.36,134.14,131.1,133.81,26752295.0
GOOGL,2023-10-05,133.64,134.06,132.02,133.64,19832615.0
GOOGL,2023-10-06,132.58,136.73,132.58,136.15,27597598.0
GOOGL,2023-10-09,135.51,137.51,134.18,136.99,19278070.0
GOOGL,2023-10-10,137.07,138.29,135.9,136.63,27786613.0
GOOGL,2023-10-11,137.15,139.68,137.15,139.12,25884303.0
GOOGL,2023-10-12,139.62,139.79,136.83,137.54,24765537.0
GOOGL,2023-10-13,137.95,138.57,135.19,135.93,23435599.0
GOOGL,2023-10-16,136.74,138.2,136.56,137.67,28501871.0
GOOGL,2023-10-17,137.2,138.47,135.75,138.29,23515780.0
GOOGL,2023-10-18,138.02,139.29,135.95,136.53,23374998.0
GOOGL,2023-10-19,137.07,138.23,135.95,136.32,26065949.0
GOOGL,2023-10-20,135.9,136.44,133.65,134.17,26335673.0
GOOGL,2023-10-23,133.61,136.2299,132.52,135.07,26317793.0
GOOGL,2023-10-24,136.4,137.9299,135.99,137.38,44814170.0
GOOGL,2023-10-25,126.73,126.88,123.64,124.18,84365888.0
GOOGL,2023-10-26,121.84,122.8997,119.84,120.85,57061136.0
GOOGL,2023-10-27,121.45,121.88,118.7757,120.74,44566471.0
GOOGL,2023-10-30,121.78,123.97,121.32,123.03,28939527.0
GOOGL,2023-10-31,123.63,123.94,121.255,122.65,26291893.0
GOOGL,2023-11-01,122.64,125.06,122.285,125.02,30082336.0
GOOGL,2023-11-02,126.99,127.55,125.5,126.06,27124377.0
GOOGL,2023-11-03,126.59,128.095,126.43,127.67,26393087.0
GOOGL,2023-11-06,127.62,128.91,127.24,128.82,19052709.0
GOOGL,2023-11-07,129.28,130.48,128.45,129.54,29757264.0
GOOGL,2023-11-08,129.54,130.78,129.35,130.41,26425838.0
GOOGL,2023-11-09,130.53,131.12,128.635,128.81,23747498.0
GOOGL,2023-11-10,128.675,131.37,127.98,131.16,26927826.0
GOOGL,2023-11-13,130.35,131.16,129.82,130.66,18324751.0
GOOGL,2023-11-14,132.76,134.27,131.89,132.19,32395068.0
GOOGL,2023-11-15,133.44,133.6,132.14,133.19,23861464.0
GOOGL,2023-11-16,133.76,135.7899,132.89,135.5,28012850.0
GOOGL,2023-11-17,134.57,134.63,132.22,133.88,37287260.0
GOOGL,2023-11-20,132.26,135.23,132.19,134.82,27850485.0
